name,profileContent,locality,region,country,postalCode,aboutUs,galleryImage,classesConducted,image,reviews
Manoj Sahrawat,"English,
				
				Hindi",Gurgaon HO,Gurgaon,India,122001,I provide .Net training,[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net LINQ\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', 'C# .NET\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', '.Net WPF\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Pooja Mittal,,Arjun Nagar,Gurgaon,India,122001,"Pooja Mittal conducts classes in  .Net WCF, B Ed Tuition and Teacher Training. Pooja Mittal is located in Arjun Nagar, Gurgaon. Pooja Mittal takes classes Regular Classes- at her Home.",[],"['Teacher Training', 'B Ed Tuition', '.Net WCF\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-female-200X200-4f01def0197ff3f4437cabdafea04864.png,[]
Anil Malik,"Hindi,
				
				English",Sector 53,Gurgaon,India,122001,I have good hands on experience of .NET and almost all Microsoft Technologies. I like teaching.,[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', 'Microsoft .Net 4\n                           \n                               Training', 'MySQL Development\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/581678-medium190.png,[]
Lucky Tiwari,"Hindi,
				
				English",Sector 49,Gurgaon,India,122002,"10 years of teaching experience in computer courses,  physics , maths and chemistry.",[],"['Class IX-X Tuition', 'Class XI-XII Tuition (PUC)', 'Class VI-VIII Tuition', 'C++ Language\n                           \n                               classes', 'Computer Software\n                           \n                               Classes', 'Computer Course\n                           \n                               classes', 'Decision Making Skills Training', 'Database Training\n                           \n                               classes', 'BTech Tuition', 'MTech Tuition', 'Advanced C\n                           \n                               Training', 'Agile\n                           \n                               Training', 'C# .NET\n                           \n                               Training', '.Net WCF\n                           \n                               Training', 'MS SQL\n                           \n                               Training', 'Soft Skills Training\n                           \n                               Classes', 'Career Counselling', 'Cloud Computing\n                           \n                               Classes']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Anirban Ghosh,"Bengali,
				
				Hindi,
				
				English",Sector 23 A,Gurgaon,India,122017,"13 years of experience in software development. Trained more than 300 professionals, who established their career in software development. The learning is good in classroom but with live projects it is best. Real time experience and names are listed in the ""Credits"" section of the website.",[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Gulshan,"Hindi,
				
				English",Madanpuri,Gurgaon,India,122001,,[],"['.Net WCF\n                           \n                               Training', '.Net WPF\n                           \n                               Training', 'MS SQL Development\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Ashish Shukla,,Sector 18,Gurgaon,India,122015,"Ashish Shukla conducts classes in  .Net AJAX, .Net Advanced and .Net LINQ. Ashish is located in Sector 18, Gurgaon. Ashish takes classes at students Home, Regular Classes- at his Home and Online Classes- Via online medium.",[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net LINQ\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', 'SQL Server\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/1042393-medium190.jpg,[]
Manish Pandey,"English,
				
				Hindi",Hari Nagar,Gurgaon,India,122001,I'm working as WPF Application Engineer since last 1.8 years.Worked on more than 3 international client live projects.,[],"['.Net Training', 'C# .NET\n                           \n                               Training', '.Net WCF\n                           \n                               Training', '.Net WPF\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Sundar Rath,"English,
				
				Hindi,
				
				Oriya",Sector 39,Gurgaon,India,122002,"VB, VBA, VB.NET, ASP.NET, C#.NET,SSIS, SSAS, SSRS, Crystal Report, Third Party Report(Dynamic Report, Excel, Open Office and PDF), MS-SQL Server . MS Access",[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net Certification Training', '.Net LINQ\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', 'MS Outlook 2007\n                           \n                               Training', 'MS SQL\n                           \n                               Training', 'MS SQL Development\n                           \n                               Training', 'MS SQL General\n                           \n                               Training', 'MS SQL Integration\n                           \n                               Training', 'MS SQL Reporting\n                           \n                               Training', 'MSBI-SQL SERVER\n                           \n                               Training', 'SQL Programming\n                           \n                               Training', 'SQL Server\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Vinit,"Hindi,
				
				Punjabi,
				
				English",Sector 31,Gurgaon,India,122001,I have 4 years of working experience with MNCs.,[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net LINQ\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'C# .NET\n                           \n                               Training', '.Net WCF\n                           \n                               Training', '.Net WF\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/2585036-medium190.jpg,[]
Suren Sharma,"English,
				
				Hindi,
				
				Marathi",Sector 4,Gurgaon,India,122001,"I have 10 years of software development experience. I was in  Johannesburg, Hyderabad, Nagpur, Pune for software development. Now I am in Gurgaon. Most of the students already benefitted from my teaching in .NET during their academic period. My all students are in good MNCs now in .NET. If you need .NET trainer, give me a call.",[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net LINQ\n                           \n                               Training', 'ADO.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', 'C# .NET\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', 'Microsoft .Net 4\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/1142970-medium190.jpg,[]
Professional,,Sector 14,Gurgaon,India,122001,"We are Software professionals working in various industry sectors like Banking , E-Commerce, Retail and our method of training is  industry oriented.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/documents/1600-WPF-Training.pdf', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/documents/2333-Angular-course.pdf', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/documents/2334-Javascript-curriculum.pdf']","['.Net Training', 'Linux\n                           \n                               Training', 'C Sharp\n                           \n                               Classes', '.Net Advanced\n                           \n                               Training', '.Net Certification Training', '.Net LINQ\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', 'ADO.NET\n                           \n                               Training', 'Agile\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', '.Net AJAX\n                           \n                               Training', '.Net WCF\n                           \n                               Training', '.Net WPF\n                           \n                               Training', 'jQuery\n                           \n                               Training', 'OOAD\n                           \n                               Training', 'SQL Programming\n                           \n                               Training', 'Oracle SOA', 'Angular.JS\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/902701-medium190ap.png,"[u'D\n\n\n\n\n\n\n\n\n\n\n\n\nDeepak Srivastava\n\n attended \n\n in Feb,2015\r\n\t\t\t\t\t\n posted on 24 Feb, 2015\n\r\n\t\t\t\t\t""What I liked most about UrbanPro:\r\n-Got immediate AngularJS expert. so prompt response as I have never seen anywhere else. It was literally very easy to locate and find expert with UrbanPro of any field.\r\n-I got Saurabh Gupta sir as the AngularJS expert and when I explained my project, doubts, problems, issues, he answered in a way which blew my mind on the very first day itself. Though it was very tough challenge for me but he converted everything in simplest form. What I admire most about him is his confidence, problem solving ability and never ending support to his students.\r\n-He believes in actually helping people, not just sake of words but actually helps in a way which boosts the confidence of his student and solve your query until you get solution.\r\n-He possess in depth knowledge of AngularJS and for me, he solved all my problems that can only be done by an expert in that field.\r\n-Wait but he equally possess knowledge in other fields as well ( like .NET all concepts). I have already enrolled for full end to end knowledge sharing from Saurabh sir that includes AngularJS, Linq, HTML, CSS, wcf,  Javascript etc.\r\n-I would request everyone who is looking for kick start of these areas or any other, having trouble in understanding concepts and issues in existing project, not able to solve problem, stuck at some failure, feel free to get in touch with Saurabh Sir, he will be the best to solve all queries. I have immense respect for him as you will have also the same feeling when you get in touch with him.Best teacher/expert/friend/mentor I have ever seen. Thanks a ton Saurabh sir. Wish you all the best for tireless effort to help students and raising students from dependent to independent expert in that field. You will become independent expert in your technology as soon as you get in touch with Saurabh Sir.\r\n\t\t\t\t\t\t\t\t\t""']"
